單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
year,年/年份,Time,/jɪr/,3,year,We are looking forward to a wonderful new year.,我們正期待著美好的一年。,This school year is going to be full of fun learning.,這個學年將會充滿有趣的學習。
clock,時鐘/鐘,Time,/klɑːk/,3,clock,The clock on the wall shows it is eight o'clock.,牆上的時鐘顯示現在是八點鐘。,The clock on the wall shows that it is eight o'clock.,牆上的時鐘顯示現在是八點鐘。
o'clock,點鐘,Time,/əˈklɑːk/,3,o'/clock,The school sports day starts at nine o'clock sharp.,學校運動會在九點整準時開始。,We have an English lesson at nine o'clock today.,我們今天九點鐘有一堂英文課。
spring,春天/泉水/彈簧,Time,/sprɪŋ/,3,spring,Many beautiful flowers bloom in the warm spring.,許多美麗的花朵在溫暖的春天盛開。,Beautiful flowers start to open in warm spring.,美麗的花朵在溫暖的春天開始綻放。
summer,夏天/夏季,Time,/ˈsʌm.ɚ/,3,sum/mer,We love to eat cold watermelon in the hot summer.,我們在炎熱的夏天熱愛吃冰西瓜。,"Summer is hot, and we love to eat cold ice cream.",夏天很熱，我們很喜歡吃冰涼的冰淇淋。
fall,落下/跌倒/秋天/降臨,Time,/fɑːl/,3,fall,Leaves turn yellow and fall from trees in autumn.,秋天時葉子變黃並從樹上落下。,Watch your step so you do not fall on the wet grass.,看好你的腳步，才不會在濕草地上跌倒。
winter,冬天/冬季,Time,/ˈwɪn.tɚ/,3,win/ter,It is very cold and sometimes snows in winter.,冬天非常冷，有時候還會下雪。,"It gets very cold in winter, so we wear warm coats.",冬天的天氣變得很冷，所以我們穿溫暖的外套。
season,季節,Time,/ˈsiː.zən/,3,sea/son,My favorite season of the year is cool autumn.,我一年中最喜歡的季節是涼爽的秋天。,"Winter is a cold season, but Christmas is warm.",冬天是一個寒冷的季節，但耶誕節卻很溫暖。
Monday,星期一,Time,/ˈmʌn.deɪ/,3,Mon/day,Monday is the first school day of the week.,星期一是這一週的第一個上學日。,We sing the school song together on Monday morning.,我們在星期一早上一起唱校歌。
Tuesday,星期二,Time,/ˈtuːz.deɪ/,3,Tues/day,We have a music class every Tuesday afternoon.,我們每個星期二下午有一節音樂課。,We have a PE lesson and play soccer on Tuesday.,我們在星期二有一堂體育課並踢足球。
Wednesday,星期三,Time,/ˈwenz.deɪ/,3,Wednes/day,Wednesday afternoon is our sports and club time.,星期三下午是我們的運動和社團時間。,Our school has a half day of classes on Wednesday.,我們學校星期三只上半天課。
Thursday,星期四,Time,/ˈθɝːz.deɪ/,3,Thurs/day,We will visit the science museum next Thursday morning.,我們下星期四早上將造訪自然科學博物館。,I borrow new storybooks from the library on Thursday.,我星期四在圖書館借新的故事書。
Friday,星期五,Time,/ˈfraɪ.deɪ/,3,Fri/day,Friday is the last school day before the weekend.,星期五是週末前的最後一個上學日。,Friday is my favorite day because the weekend is near.,星期五是我最喜歡的一天，因為週末快到了。
Saturday,星期六,Time,/ˈsæt̬.ɚ.deɪ/,3,Sat/ur/day,I like to go hiking with my family on Saturday.,我星期六喜歡和家人一起去健行。,I love to eat hot pancakes on Saturday morning.,我喜歡在星期六早上吃熱鬆餅。
Sunday,星期日,Time,/ˈsʌn.deɪ/,3,Sun/day,"Sunday is a holiday, and we can rest at home.",星期天是假日，我們可以留在家裡休息。,We go hiking on the mountain with family on Sunday.,我們星期日和家人一起去山上健行。
week,星期/週,Time,/wiːk/,3,week,There are seven days in a single week.,單單一週內就有七天。,There are seven days in a week.,一星期有七天。
January,一月,Time,/ˈdʒæn.ju.er.i/,3,Jan/u/ary,January is the very first month of the year.,一月是一年當中的第一個月份。,January first is the beginning of a new year.,一月一日是一年的開始。
February,二月,Time,/ˈfeb.ru.er.i/,3,Feb/ru/ary,February usually has twenty-eight days in a year.,二月份在一年中通常只有二十八天。,February is the second and shortest month of the year.,二月是一年中第二個也是最短的月份。
March,三月,Time,/mɑːrtʃ/,3,March,The weather starts to turn warm in March here.,這裡的天氣在三月份開始轉暖。,Spring usually starts to arrive in March.,春天通常在三月份開始到來。
April,四月,Time,/ˈeɪ.prəl/,3,April,April showers bring beautiful flowers in spring.,四月的雨水在春天帶來了美麗的花朵。,My cousin has a birthday party in April.,我表弟/表妹在四月舉辦生日派對。
May,可能/可以/五月,Time,/meɪ/,3,May,Mother's Day is celebrated on the second Sunday of May.,母親節在五月的第二個星期日慶祝。,May I borrow your green marker for my painting?,我畫畫可以借你的綠色白板筆嗎？
June,六月,Time,/dʒuːn/,3,June,Summer vacation usually begins in the late June.,暑假通常在六月下旬開始。,"School ends in June, and summer vacation starts.",學校在六月結束，暑假開始。
July,七月,Time,/dʒuˈlaɪ/,3,Ju/ly,July is a very hot month of the summer holiday.,七月是暑假中一個非常炎熱的月份。,"It is hot in July, and we go swimming.",七月天氣很熱，我們去游泳。
August,八月,Time,/ɑːˈɡʌst/,3,Au/gust,Father's Day in Taiwan is on the eighth of August.,台灣的父親節是在八月八日。,August is the last month of our summer vacation.,八月是我們暑假的最後一個月。
September,九月,Time,/sepˈtem.bɚ/,3,Sep/tem/ber,Students go back to school in September in Taiwan.,台灣的學生在九月份返校上課。,We go back to school in September to meet our friends.,我們在九月回學校和朋友見面。
October,十月,Time,/ɑːkˈtoʊ.bɚ/,3,Oc/to/ber,Halloween is celebrated on the last day of October.,萬聖節在十月的最後一天慶祝。,Halloween is celebrated on the last day of October.,萬聖節在十月的最後一天慶祝。
November,十一月,Time,/noʊˈvem.bɚ/,3,No/vem/ber,The weather turns cool and pleasant in November.,天氣在十一月份變得涼爽宜人。,The weather gets cool in November in Taiwan.,台灣在十一月時天氣變涼。
December,十二月,Time,/dɪˈsem.bɚ/,3,De/cem/ber,Christmas is celebrated on the twenty-fifth of December.,聖誕節在十二月二十五日慶祝。,We decorate the classroom for Christmas in December.,我們在十二月裝飾教室準備過耶誕節。
ride,騎(馬、車等),Transportation,/raɪd/,3,ride,I want to learn how to ride a bike.,我想學習如何騎腳踏車。,My sister likes to ride her kick scooter in the park.,我妹妹喜歡在公園裡騎她的滑板車。
fly,飛/飛行/蒼蠅,Transportation,/flaɪ/,3,fly,Many birds fly to warm places in winter.,許多鳥在冬天飛往溫暖的地方。,A big airplane can fly high above the white clouds.,大飛機可以在白雲高空飛行。
drive,駕駛/開車,Transportation,/draɪv/,3,drive,My mother drives a blue car to work daily.,我媽媽每天開著藍色車子去上班。,Please drive slowly when you pass the school gate.,路過校門口時請減速慢行/慢速駕駛。
turn,轉彎/轉動/輪流,Transportation,/tɝːn/,3,turn,Please turn right when you see the post office.,當你看到郵局時請右轉。,It is your turn to answer the English question now.,現在輪到你回答英文問題了。
car,車子/汽車,Transportation,/kɑːr/,3,car,My father parked the red car near our house.,我爸爸把紅色的車子停在我們家附近。,My parents bought a new green car last month.,我父母上個月買了一輛綠色的新車。
bus,公車/巴士,Transportation,/bʌs/,3,bus,We take the school bus to school every morning.,我們每天早上搭校車去上學。,We must stand in line to get on the school bus.,我們必須排隊搭乘校車。
bus stop,公車站/公車站牌,Transportation,/ˈbʌs ˌstɑːp/,3,bus/stop,The students are waiting patiently at the bus stop.,學生們正在公車站耐心等待。,The bus stop is just a few steps away from our house.,公車站離我們家只有幾步之遙。
taxi,計程車,Transportation,/ˈtæk.si/,3,taxi,We took a taxi because we were very late.,我們搭了計程車，因為我們遲到了。,The yellow taxi stopped in front of the train station.,黃色的計程車停在火車站前。
airport,機場,Transportation,/ˈer.pɔːrt/,3,air/port,The airplane landed safely at the Taoyuan airport.,飛機安全降落在桃園機場。,We went to the airport to welcome our grandfather.,我們去機場迎接我們的爺爺。
ship,船(大型),Transportation,/ʃɪp/,3,ship,A large cargo ship is sailing across the ocean.,一艘大型貨輪正在橫渡大洋。,A giant cruise ship is resting in the quiet harbor.,一艘巨型郵輪停泊在安靜的港口。
boat,小船/船,Transportation,/boʊt/,3,boat,We rode a small wooden boat on the lake.,我們在湖上划了一艘木製小船。,My grandpa owns a small fishing boat on the river.,我爺爺在河上有一艘捕魚小船。
station,車站/站/局,Transportation,/ˈsteɪ.ʃən/,3,sta/tion,The train arrived at the station on time.,火車準時抵達了車站。,We met our friends at the bus station this morning.,我們今天早上在公車站和朋友見面。
motorcycle,機車/摩托車,Transportation,/ˈmoʊ.t̬ɚˌsaɪ.kəl/,3,mo/tor/cy/cle,Riding a motorcycle in Taiwan is very common.,在台灣騎機車是非常普遍的。,My father wears a heavy helmet to ride his motorcycle.,我爸爸戴著厚重的安全帽騎機車。
MRT,捷運,Transportation,/ˌem.ɑːr.ˈtiː/,3,MRT,The Taipei MRT is very clean and convenient.,台北捷運非常乾淨且方便。,Taking the MRT is a safe way to travel around the city.,搭乘捷運是在城市裡旅遊的安全方式。
scooter,機車/滑板車,Transportation,/ˈskuː.t̬ɚ/,3,scoot/er,She rides a light scooter to the local market.,她騎著輕型機車去當地的市場。,The child rides a pink kick scooter in the park.,那個孩子在公園裡玩粉紅色滑板車。
fast,快的/快地,Adjectives,/fæst/,3,fast,Cheetahs can run very fast in the wild grass.,獵豹可以在野生草叢中跑得很快。,"If you walk fast, you can catch up with the group.",如果你走得快，你就能趕上隊伍。
slow,慢的/緩慢的,Adjectives,/sloʊ/,3,slow,The slow turtle finally finished the long race.,慢吞吞的烏龜終於完成了這場長途比賽。,The slow train stops at every station along the way.,這慢車沿途在每個車站都停靠。
truck,卡車/貨車,Transportation,/trʌk/,3,truck,A large blue truck is carrying heavy boxes.,一輛藍色大卡車正載運著重重的箱子。,The farmer filled the truck with sweet pumpkins.,農夫在卡車上裝滿了甜南瓜。
weather,天氣,Weather,/ˈweð.ɚ/,3,weath/er,What is the weather like in New York today?,今天紐約的天氣怎麼樣？,The warm weather is perfect for playing soccer outdoors.,溫暖的天氣非常適合在戶外踢足球。
sky,天空,Weather,/skaɪ/,3,sky,The sky is clear and full of bright stars.,天空非常清朗，而且佈滿了明亮的星星。,The blue sky has no clouds at all this morning.,今天早上蔚藍的天空一點雲也沒有。
sun,太陽,Weather,/sʌn/,3,sun,The sun is shining brightly in the sky today.,今天太陽在天空中明亮地照耀著。,The warm sun keeps us comfortable during winter.,溫暖的太陽讓我們在冬天感到舒服。
star,星星/明星,Weather,/stɑːr/,3,star,The little star is twinkling in the dark sky.,小星星在漆黑的天空中閃爍。,She got a shiny gold star on her homework book.,她的作業本上得到了一個閃亮的金星獎章。
wind,風,Weather,/wɪnd/,3,wind,The strong wind blew away my favorite paper hat.,強風吹走了我最愛的紙帽子。,The cold wind started to blow in the late afternoon.,傍晚時分，冷風開始吹了起來。
windy,風大的/多風的,Weather,/ˈwɪn.di/,3,windy,"It is very windy today, so let us fly kites.",今天風很大，我們去放風箏吧。,Hold your hat on a windy day so it doesn't fly away.,在有風的日子拉好帽子，以免它被吹走。
typhoon,颱風,Weather,/taɪˈfuːn/,3,ty/phoon,Schools were closed yesterday because of the strong typhoon.,學校昨天因為強烈颱風停課。,We stayed safe inside our house during the typhoon.,颱風期間我們安全地待在屋子裡。
rain,雨/下雨,Weather,/reɪ/,3,rain,I love the fresh smell of grass after rain.,我喜歡雨後草地清新的味道。,The grass needs rain to grow green and fresh.,草地需要雨水來生長得又綠又鮮嫩。
rainbow,彩虹,Weather,/ˈreɪn.boʊ/,3,rain/bow,A colorful rainbow appeared in the sky after rain.,雨後天空出現了一道色彩繽紛的彩虹。,Let's draw a beautiful seven-color rainbow on the card.,我們在卡片上畫一道美麗的七彩彩虹吧。
snow,雪/下雪,Weather,/snoʊ/,3,snow,The white snow covered the mountains like a blanket.,白雪像毯子一樣覆蓋了山脈。,It is fun to make a round snowman in the snow.,在雪中做一個圓圓的雪人很有趣。
snowy,下雪的/多雪的,Weather,/ˈsnoʊ.i/,3,snowy,We wore warm gloves on that cold snowy day.,我們在那個寒冷的下雪天戴了溫暖的手套。,The mountains turned white on a cold snowy morning.,在一個寒冷下雪的早上，山脈變白了。
wet,濕的/潮濕的,Weather,/wet/,3,wet,My shoes got completely wet in the heavy rain.,我的鞋子在大雨中完全濕透了。,Use a towel to wipe your wet hands before lunch.,午餐前用毛巾擦乾你濕漉漉的手。
cloudy,多雲的/陰天的,Weather,/ˈklaʊ.di/,3,cloudy,"It is cloudy today, so the sun is hidden.",今天是陰天，所以太陽躲起來了。,We can go for a walk since it is cloudy and cool.,因為天氣多雲涼爽，我們可以出去散步。
hot,熱的/辣的,Weather,/hɑːt/,3,hot,Drink plenty of water on hot summer days.,在炎熱的夏天要喝充足的水。,This hot noodle soup tastes spicy and delicious.,這碗熱麵湯嚐起來香辣美味。
warm,溫暖的/使溫暖,Weather,/wɔːrm/,3,warm,The spring weather is very warm and pleasant here.,這裡春天的天氣非常溫暖且宜人。,The mother bird keeps her baby chicks warm in the nest.,母鳥在鳥巢裡為牠的小雞保暖。
cool,涼爽的/酷的,Weather,/kuːl/,3,cool,The autumn breeze is very cool and refreshing.,秋天的微風非常涼爽而且提神。,His new bicycle looks really cool and fast.,他的新自行車看起來真的很酷、很快。
a,一個/一種,Articles,/eɪ/,3,a,I saw a small squirrel eating a nut yesterday.,我昨天看到一隻小松鼠在吃堅果。,I have a friendly puppy that loves to chase balls.,我有一隻很喜歡追球的友善小狗。
an,一個/一種(加母音開頭),Articles,/æn/,3,an,She brought an orange and an apple for lunch.,她帶了一個橘子和一個蘋果當午餐。,She shared an orange with her brother after lunch.,她午餐後和她哥哥分享了一顆柳橙。
every,每個/每一的,Articles,/ˈev.ri/,3,ev/ery,He practices speaking English every single day.,他每一天都練習說英文。,We should drink water every day to keep healthy.,我們應該每天喝水來保持健康。
the,這/那/這些/那些,Articles,/ðə/,3,the,The dog in the garden belongs to our neighbor.,花園裡的那隻狗是我們鄰居的。,The sky looks very clear and bright tonight.,今天晚上的天空看起來非常清朗且明亮。
this,這/這個,Articles,/ðɪs/,3,this,This storybook is very interesting and has nice pictures.,這本故事書非常有趣，而且有漂亮的圖片。,This English book belongs to the school library.,這本英文書屬於學校圖書館。
that,那/那個,Articles,/ðæt/,3,that,That tall tree in the park is a banyan.,公園裡那棵高大的樹是一棵榕樹。,That big black dog over there is very friendly.,那邊那隻黑大狗非常友善。
those,那些,Articles,/ðoʊz/,3,those,Those sweet grapes in the kitchen are for you.,廚房裡的那些甜葡萄是給你的。,Those tall trees in the yard block the hot sun.,院子裡那些高大樹木遮擋了烈日。
these,這些,Articles,/ðiːz/,3,these,These colorful markers on the desk are mine.,書桌上的這些彩色麥克筆是我的。,These crayons are for you to paint your drawing.,這些蠟筆是給你畫畫上色用的。
I,我(主格),Pronouns,/aɪ/,3,I,I want to learn how to play the piano.,我想學習如何彈鋼琴。,I love reading interesting stories before bed.,我喜歡在睡前閱讀有趣的故事。
he,他(主格),Pronouns,/hiː/,3,he,He is the tallest boy in our school team.,他是我們校隊裡最高挑的男孩。,He is my best friend in Xingang Elementary School.,他是我就讀新港國小最好的朋友。
she,她(主格),Pronouns,/ʃiː/,3,she,She wrote a beautiful poem for her kind mother.,她為她親切的母親寫了一首美麗的詩。,She draws beautiful pictures of flowers in her book.,她在書上畫了美麗的花朵圖畫。
me,我(受格),Pronouns,/miː/,3,me,Please give me the English book on the table.,請把桌上的英文書給我。,Please show me how to write this English word.,請教我怎麼寫這個英文單字。
him,他(受格),Pronouns,/hɪm/,3,him,I sent him an email to invite him today.,我今天給他發了一封電子郵件邀請他。,I saw him playing basketball in the school playground.,我看到他在學校操場上打籃球。
her,她(受格)/她的(所有格),Pronouns,/hɝː/,3,her,We gave her a birthday gift to surprise her.,我們給了她一份生日禮物以給她驚喜。,Her mother works in the hospital near our house.,她媽媽在我們家附近的醫院工作。
you,你/你們(主格/受格),Pronouns,/juː/,3,you,You should wash your hands before eating dinner.,你在吃晚餐前應該要洗手。,You did a wonderful job on your math quiz today.,你今天的數學小考做得非常好。
we,我們(主格),Pronouns,/wiː/,3,we,We walked to the park and played games together.,我們走路去公園並一起玩遊戲。,We must stand together to clean our classroom.,我們必須站在一起打掃我們的教室。
us,我們(受格),Pronouns,/ʌs/,3,us,The teacher read us an interesting story in class.,老師在課堂上給我們讀了一個有趣的故事。,The English teacher gave us some colorful stickers.,英文老師給了我們一些彩色的貼紙。
it,牠/它(主格/受格),Pronouns,/ɪt/,3,it,"The cat is sleeping, so please do not wake it.",貓咪正在睡覺，所以請不要喚醒牠。,I bought a new toy car and it is very fast.,我買了一輛新玩具車，它跑得非常快。
they,他們/她們/它們(主格),Pronouns,/ðeɪ/,3,they,They went to the library to study together yesterday.,他們昨天去圖書館一起學習。,They run happily on the school grass field.,他們在學校的草地上快樂地奔跑。
them,他們/她們/它們(受格),Pronouns,/ðem/,3,them,We invited them to join our English club tomorrow.,我們邀請他們明天加入我們的英文社團。,Please tell them to clean up their study desks.,請告訴他們整理好他們的書桌。
nothing,沒有什麼/無事/無物,Pronouns,/ˈnʌθ.ɪŋ/,3,noth/ing,There is nothing in the box; it is empty.,箱子裡什麼都沒有，它是空的。,There is nothing inside the small gift box.,小禮物盒裡什麼也沒有。
be,是/在/存在,Be & Auxiliaries,/biː/,3,be,Please be quiet when the teacher is speaking.,老師說話時請保持安靜。,Try to be a helpful student in your class.,試著在班上當一名樂於助人的學生。
do,做/助動詞,Be & Auxiliaries,/duː/,3,do,What do you want to do after class today?,你今天下課後想要做什麼？,Please do your homework before playing games.,玩遊戲前請先做完功課。
can,能/會/罐頭/可以,Be & Auxiliaries,/kæn/,3,can,I can play the recorder very well now.,我現在直笛可以吹得非常好了。,A busy little bee can fly very fast.,忙碌的小蜜蜂能飛得很快。
will,將/會/意志,Be & Auxiliaries,/wɪl/,3,will,I will go to the zoo with my family.,我將會和我的家人一起去動物園。,I will show you my new storybook tomorrow.,我明天會展示我的新故事書給你看。
and,和/並且,Conjunctions,/ænd/,3,and,I bought a blue pen and a red pencil.,我買了一支藍色筆和一支紅色鉛筆。,My sister and I draw pictures together on weekends.,我妹妹和我週末一起畫畫。
but,但是/然而,Conjunctions,/bʌt/,3,but,He ran fast but still missed the school bus.,他跑得很快，但還是錯過了校車。,He tried hard but could not solve the math problem.,他很努力，但是無法解出這道數學題。
because,因為,Conjunctions,/bɪˈkəz/,3,be/cause,We stayed home because the weather was very rainy.,我們待在家裡，因為天氣下大雨。,I went to sleep early because I felt tired.,我早點睡覺，因為我覺得累了。
hi,嗨/你好,Interjections,/haɪ/,3,hi,"Hi, Tim! How are you doing today?",嗨，提姆！你今天好嗎？,"Hi, how are you doing in school today?",嗨，你今天在學校過得怎麼樣？
hello,你好/哈囉,Interjections,/həˈloʊ/,3,hel/lo,Say hello to your grandparents when you see them.,看到爺爺奶奶時要跟他們問好。,Say hello to our new classmate with a smile.,用微笑跟我們的新同學說你好。
please,請/使高興,Interjections,/pliːz/,3,please,Please pass me the salt on the dining table.,請把餐桌上的鹽遞給我。,Please show me the way to the school gym.,請指引我去學校體育館的路。
excuse me,不好意思/請原諒我,Other,/ɪkˈskjuːz ˌmiː/,3,ex/cuse/me,"Excuse me, where is the nearest MRT station?",不好意思，請問最近的捷運站在哪裡？,"Excuse me, could you please repeat the English sentence?",不好意思，可以請您再重複一次英文句子嗎？
at,在...地方/在...時刻,Prepositions,/æt/,3,at,We arrived at the zoo at ten o'clock.,我們在十點鐘抵達了動物園。,We eat our lunch together at noon.,我們在中午一起吃午餐。
in,在...裡面,Prepositions,/ɪn/,3,in,The keys are in the pocket of my coat.,鑰匙在我大衣的口袋裡。,There are three pencils and an eraser in my box.,我的鉛筆盒裡有三支鉛筆和一個橡皮擦。
of,的/屬於/關於,Prepositions,/ʌv/,3,of,The color of the school bag is navy blue.,書包的顏色是深藍色。,She is the class leader of our fifth-grade class.,她是我們五年級班上的班長。
out,在外面/出/離,Prepositions,/aʊt/,3,out,He looked out the window and saw a bird.,他向窗外看去，看到了一隻鳥。,The students ran out to play recess games.,學生們跑出去玩下課遊戲。
for,為了/給/適合/因為,Prepositions,/fɔːr/,3,for,This blue bicycle is a birthday gift for you.,這輛藍色腳踏車是送給你的生日禮物。,I made this card for my sister's birthday.,我做這張卡片是為了我妹妹的生日。
near,靠近/在...附近,Prepositions,/nɪr/,3,near,The convenience store is located near our school.,這家便利商店位於我們學校附近。,Our school is near the public library and the park.,我們學校在公共圖書館和公園附近。
by,藉由/在...旁邊/被,Prepositions,/baɪ/,3,by,We went to the beautiful beach by train yesterday.,我們昨天坐火車去美麗的海灘。,He goes to school by school bus every morning.,他每天早上搭乘校車上學。
on,在...上面/在...之時,Prepositions,/ɑːn/,3,on,The book is on the desk next to computer.,書在電腦旁邊的書桌上。,Please put your homework book on my desk.,請把你的功課本放在我的桌上。
behind,在...後面,Prepositions,/bɪˈhaɪnd/,3,be/hind,The cat is hiding behind the bedroom door.,貓咪正躲在臥室門的後面。,The little cat is sleeping behind the sofa.,小貓咪正在沙發後面睡覺。
from,來自/從,Prepositions,/frʌm/,3,from,"Where are you from, Taiwan or the USA?",你來自哪裡，台灣還是美國？,This fresh red apple comes from a local orchard.,這顆新鮮的紅蘋果來自當地的果園。
off,離開/脫落/關掉,Prepositions,/ɑːf/,3,off,Remember to turn off the lights before you leave.,離開前記得關燈。,Please turn off the lights when leaving the classroom.,離開教室時請關燈。
to,向/往/給/到,Prepositions,/tuː/,3,to,I walked to the library to borrow some books.,我走路去圖書館借一些書。,We listen carefully to the English teacher.,我們仔細聆聽英文老師說話。
up,向上/往上,Prepositions,/ʌp/,3,up,He woke up early and washed his face quickly.,他早早醒來，迅速地洗了臉。,Hold up your hand if you want to answer.,如果你想回答請舉手。
over,在...上方/越過/結束,Prepositions,/ˈoʊ.vɚ/,3,over,The white bird is flying over the calm lake.,那隻白鳥正飛越平靜的湖面上方。,"The class is over, and we can go to play soccer.",下課了，我們可以去踢足球。
than,比/比較,Prepositions,/ðæn/,3,than,An elephant is much bigger than a tiger.,大象比老虎大得多。,An elephant is much bigger than a horse.,大象比馬大得多。
with,與...一起/具有/用,Prepositions,/wɪð/,3,with,I went to the library with my classmates yesterday.,我昨天和同學們一起去圖書館。,We write the new English sentences with a pencil.,我們用鉛筆寫下新的英文句子。
under,在...下面,Prepositions,/ˈʌn.dɚ/,3,un/der,The small puppy is sleeping under the wooden chair.,小狗正坐在木椅底下睡覺。,A sleepy puppy is resting under the classroom table.,一隻睡眼惺忪的小狗正在教室桌子底下休息。
next to,在...旁邊/緊鄰,Prepositions,/nekst tuː/,3,next/to,The school bookstore is next to the post office.,學校書店在郵局旁邊。,Tim sits next to me in the English class.,提姆在英文課上坐在我旁邊。
about,關於/大約,Prepositions,/əˈbaʊt/,3,about,She told us an interesting story about a brave monkey.,她跟我們講了一個關於勇敢猴子的有趣故事。,This story is about a brave little dog and a cat.,這個故事是關於一隻勇敢的小狗和貓咪。
inside,在...裡面/內部,Prepositions,/ɪnˈsaɪd/,3,in/side,"It is raining, so please play inside the classroom.",外面在下雨，所以請在教室裡面玩。,We stayed inside our house during the heavy typhoon.,強颱風期間我們待在屋子裡。
outside,在...外面/外部,Prepositions,/aʊtˈsaɪd/,3,out/side,The children are playing tag outside the house.,孩子們正在房子外面玩捉人遊戲。,Let's play basketball outside on this sunny day.,在這個晴天，我們去外面打籃球吧。
after,在...之後,Prepositions,/ˈæf.tɚ/,3,af/ter,Remember to wash your hands after using the restroom.,上完廁所後記得洗手。,We wash our hands after playing soccer.,我們踢完足球後會洗手。
front,前面/前方的/鋒面,Prepositions,/frʌnt/,3,front,The bus stop is right in front of our school gate.,公車站就在我們學校大門口前面。,"A cold front is coming, so the weather will turn chilly.",冷鋒即將到來，所以天氣會變涼。
box,盒子/箱子,Other,/bɑːks/,3,box,He put all his colorful markers into the wooden box.,他把所有彩色麥克筆放進木箱裡。,I keep my red crayons inside this wooden box.,我把紅色蠟筆收在這個木盒裡。
bottle,瓶子,Other,/ˈbɑː.t̬əl/,3,bot/tle,Please bring a bottle of water to the playground.,請帶一瓶水去操場。,Bring a bottle of warm water with you to school.,帶一瓶溫水去學校。
gift,禮物/天賦,Other,/ɡɪft/,3,gift,This beautiful drawing is a birthday gift for my mom.,這幅美麗的圖畫是送給我媽媽的生日禮物。,I made a pretty card to go with the birthday gift.,我做了一張漂亮的卡片來搭配生日禮物。
mail,信件/寄信/郵件,Other,/meɪl/,3,mail,Did we receive any mail or packages this morning?,我們今天早上有收到任何信件或包裹嗎？,The mailman delivered some mail to my grandparents.,郵差送了一些信件給我祖父母。
email,電子郵件/發電子郵件,Other,/ˈiː.meɪl/,3,email,I sent an email to invite my cousin to our house.,我寄了一封電子郵件邀請我表哥來我們家。,My sister sent an email to thank her English teacher.,我妹妹發了一封電子郵件來感謝她的英文老師。
tree,樹/樹木,Other,/triː/,3,tree,The boys are climbing the big banyan tree in the park.,男孩們正在爬公園裡的大榕樹。,A small bird built its nest in the tall tree.,一隻小鳥在樹上建造了牠的巢。
way,路/方法/方向,Other,/weɪ/,3,way,"Excuse me, which is the correct way to the train station?",不好意思，請問去火車站的正確路向是哪一條？,Do you know the way to the public library?,你知道去公共圖書館的路嗎？
word,字/單字/詞,Other,/wɝːd/,3,word,Try to write a new sentence with this English word.,嘗試用這個英文單字寫一個新句子。,We must practice spelling these new English words.,我們必須練習拼寫這些新的英文單字。
sale,特賣/拍賣/出售,Other,/seɪl/,3,sale,Those cool toys in the shop are on sale today.,店裡那些炫酷的玩具今天特價拍賣。,This bookstore has a big book sale today.,這家書店今天舉辦圖書大特賣。
fun,樂趣/有趣的/好玩的,Other,/fʌn/,3,fun,Playing card games with friends is always full of fun.,和朋友一起玩卡牌遊戲總是充滿樂趣。,Playing board games with family is very fun.,和家人一起玩桌遊非常有趣。
thing,東西/事物/事情,Other,/θɪŋ/,3,thing,Please put your personal things into your school bag.,請把你的個人東西放進你的書包裡。,Sharing is a good thing that makes us happy.,分享是一件會讓我們快樂的好事。
ticket,票/券/罰單,Other,/ˈtɪk.ɪt/,3,tick/et,We need to buy a train ticket to go to Hualien.,我們需要買一張火車票去花蓮。,My father bought three train tickets to Hualien.,我爸爸買了三張去花蓮的火車票。
dream,夢/夢想/做夢,Other,/driːm/,3,dream,I had a funny dream about flying in the sky last night.,我昨晚做了一個關於在天空中飛翔的有趣夢境。,My dream is to become a helpful doctor.,我的夢想是成為一名樂於助人的醫生。
party,派對/宴會/黨派,Other,/ˈpɑːr.t̬i/,3,par/ty,All the students wore funny hats to the birthday party.,所有的學生都戴著有趣的帽子去參加生日派對。,We decorated the classroom for our Christmas party.,我們為聖誕派對裝飾了教室。
photo,照片/相片,Other,/ˈfoʊ.t̬oʊ/,3,pho/to,He showed me a group photo of his family.,他向我展示了一張他家人的合照。,I took a nice photo of the orange sunset.,我拍了一張美麗的橘色日落照片。
robot,機器人,Other,/ˈroʊ.bɑːt/,3,ro/bot,He built a cool robot with some legos yesterday.,他昨天用樂高積木組裝了一個酷機器人。,He loves to build toy robots with plastic blocks.,他很喜歡用塑膠積木建造玩具機器人。
flower,花/花朵/開花,Other,/ˈflaʊ.ɚ/,3,flow/er,The sweet roses in the garden bloom in spring.,花園裡的甜美玫瑰在春天盛開。,A busy bee is visiting a colorful flower in the yard.,一隻忙碌的蜜蜂正在拜訪院子裡色彩繽紛的花朵。
cellphone,手機/行動電話,Other,/ˈsel.foʊn/,3,cell/phone,Please turn off your cellphone before the test starts.,請在考試開始前關閉手機。,Please ask for permission before using your parents' cellphone.,使用父母的手機前請先詢問許可。
birthday,生日,Other,/ˈbɝːθ.deɪ/,3,birth/day,What do you want for your tenth birthday gift?,你十歲生日禮物想要什麼？,We sang a happy birthday song to our grandmother.,我們給祖母唱了生日快樂歌。
